ego,alter,edge_id
38511,124884,com_0001
38511,96901,com_0001
38511,124830,com_0001
38511,33982,com_0001
38511,117477,com_0001
38511,125670,com_0001
38511,124849,com_0001
38511,124736,com_0001
38511,124970,com_0001
38511,124689,com_0001
38511,125110,com_0001
38511,96718,com_0001
38511,96763,com_0001
38511,28233,com_0001
38511,124794,com_0001
38511,4516,com_0001
38511,96776,com_0001
38511,124952,com_0001
38511,124809,com_0001
38511,96754,com_0001
96940,124823,com_0001
96940,102886,com_0001
96940,96842,com_0001
96940,124929,com_0001
96940,28257,com_0001
96940,124770,com_0001
96940,124807,com_0001
96940,125044,com_0001
96940,96956,com_0001
96940,96868,com_0001
96940,97014,com_0001
96940,23699,com_0001
96940,5729,com_0001
96940,124884,com_0001
96940,96901,com_0001
96940,124830,com_0001
96940,33982,com_0001
96940,117477,com_0001
96940,125670,com_0001
96940,124849,com_0001
96940,124736,com_0001
96940,124970,com_0001
96940,124689,com_0001
96940,125110,com_0001
96940,96718,com_0001
96940,96763,com_0001
96940,28233,com_0001
96940,124794,com_0001
96940,4516,com_0001
96940,96776,com_0001
96940,124952,com_0001
96940,124809,com_0001
96940,96754,com_0001
124823,102886,com_0001
124823,96842,com_0001
124823,124929,com_0001
124823,28257,com_0001
124823,124770,com_0001
124823,124807,com_0001
124823,125044,com_0001
124823,96956,com_0001
124823,96868,com_0001
124823,97014,com_0001
124823,23699,com_0001
124823,5729,com_0001
124823,124884,com_0001
124823,96901,com_0001
124823,124830,com_0001
124823,33982,com_0001
124823,117477,com_0001
124823,125670,com_0001
124823,124849,com_0001
124823,124736,com_0001
124823,124970,com_0001
124823,124689,com_0001
124823,125110,com_0001
124823,96718,com_0001
124823,96763,com_0001
124823,28233,com_0001
124823,124794,com_0001
124823,4516,com_0001
124823,96776,com_0001
124823,124952,com_0001
124823,124809,com_0001
124823,96754,com_0001
102886,96842,com_0001
102886,124929,com_0001
102886,28257,com_0001
102886,124770,com_0001
102886,124807,com_0001
102886,125044,com_0001
102886,96956,com_0001
102886,96868,com_0001
102886,97014,com_0001
102886,23699,com_0001
102886,5729,com_0001
102886,124884,com_0001
102886,96901,com_0001
102886,124830,com_0001
102886,33982,com_0001
102886,117477,com_0001
102886,125670,com_0001
102886,124849,com_0001
102886,124736,com_0001
102886,124970,com_0001
102886,124689,com_0001
102886,125110,com_0001
102886,96718,com_0001
102886,96763,com_0001
102886,28233,com_0001
102886,124794,com_0001
102886,4516,com_0001
102886,96776,com_0001
102886,124952,com_0001
102886,124809,com_0001
102886,96754,com_0001
96842,124929,com_0001
96842,28257,com_0001
96842,124770,com_0001
96842,124807,com_0001
96842,125044,com_0001
96842,96956,com_0001
96842,96868,com_0001
96842,97014,com_0001
96842,23699,com_0001
96842,5729,com_0001
96842,124884,com_0001
96842,96901,com_0001
96842,124830,com_0001
96842,33982,com_0001
96842,117477,com_0001
96842,125670,com_0001
96842,124849,com_0001
96842,124736,com_0001
96842,124970,com_0001
96842,124689,com_0001
96842,125110,com_0001
96842,96718,com_0001
96842,96763,com_0001
96842,28233,com_0001
96842,124794,com_0001
96842,4516,com_0001
96842,96776,com_0001
96842,124952,com_0001
96842,124809,com_0001
96842,96754,com_0001
124929,28257,com_0001
124929,124770,com_0001
124929,124807,com_0001
124929,125044,com_0001
124929,96956,com_0001
124929,96868,com_0001
124929,97014,com_0001
124929,23699,com_0001
124929,5729,com_0001
124929,124884,com_0001
124929,96901,com_0001
124929,124830,com_0001
124929,33982,com_0001
124929,117477,com_0001
124929,125670,com_0001
124929,124849,com_0001
124929,124736,com_0001
124929,124970,com_0001
124929,124689,com_0001
124929,125110,com_0001
124929,96718,com_0001
124929,96763,com_0001
124929,28233,com_0001
124929,124794,com_0001
124929,4516,com_0001
124929,96776,com_0001
124929,124952,com_0001
124929,124809,com_0001
124929,96754,com_0001
28257,124770,com_0001
28257,124807,com_0001
28257,125044,com_0001
28257,96956,com_0001
28257,96868,com_0001
28257,97014,com_0001
28257,23699,com_0001
28257,5729,com_0001
28257,124884,com_0001
28257,96901,com_0001
28257,124830,com_0001
28257,33982,com_0001
28257,117477,com_0001
28257,125670,com_0001
28257,124849,com_0001
28257,124736,com_0001
28257,124970,com_0001
28257,124689,com_0001
28257,125110,com_0001
28257,96718,com_0001
28257,96763,com_0001
28257,28233,com_0001
28257,124794,com_0001
28257,4516,com_0001
28257,96776,com_0001
28257,124952,com_0001
28257,124809,com_0001
28257,96754,com_0001
124770,124807,com_0001
124770,125044,com_0001
124770,96956,com_0001
124770,96868,com_0001
124770,97014,com_0001
124770,23699,com_0001
124770,5729,com_0001
124770,124884,com_0001
124770,96901,com_0001
124770,124830,com_0001
124770,33982,com_0001
124770,117477,com_0001
124770,125670,com_0001
124770,124849,com_0001
124770,124736,com_0001
124770,124970,com_0001
124770,124689,com_0001
124770,125110,com_0001
124770,96718,com_0001
124770,96763,com_0001
124770,28233,com_0001
124770,124794,com_0001
124770,4516,com_0001
124770,96776,com_0001
124770,124952,com_0001
124770,124809,com_0001
124770,96754,com_0001
124807,125044,com_0001
124807,96956,com_0001
124807,96868,com_0001
124807,97014,com_0001
124807,23699,com_0001
124807,5729,com_0001
124807,124884,com_0001
124807,96901,com_0001
124807,124830,com_0001
124807,33982,com_0001
124807,117477,com_0001
124807,125670,com_0001
124807,124849,com_0001
124807,124736,com_0001
124807,124970,com_0001
124807,124689,com_0001
124807,125110,com_0001
124807,96718,com_0001
124807,96763,com_0001
124807,28233,com_0001
124807,124794,com_0001
124807,4516,com_0001
124807,96776,com_0001
124807,124952,com_0001
124807,124809,com_0001
124807,96754,com_0001
125044,96956,com_0001
125044,96868,com_0001
125044,97014,com_0001
125044,23699,com_0001
125044,5729,com_0001
125044,124884,com_0001
125044,96901,com_0001
125044,124830,com_0001
125044,33982,com_0001
125044,117477,com_0001
125044,125670,com_0001
125044,124849,com_0001
125044,124736,com_0001
125044,124970,com_0001
125044,124689,com_0001
125044,125110,com_0001
125044,96718,com_0001
125044,96763,com_0001
125044,28233,com_0001
125044,124794,com_0001
125044,4516,com_0001
125044,96776,com_0001
125044,124952,com_0001
125044,124809,com_0001
125044,96754,com_0001
96956,96868,com_0001
96956,97014,com_0001
96956,23699,com_0001
96956,5729,com_0001
96956,124884,com_0001
96956,96901,com_0001
96956,124830,com_0001
96956,33982,com_0001
96956,117477,com_0001
96956,125670,com_0001
96956,124849,com_0001
96956,124736,com_0001
96956,124970,com_0001
96956,124689,com_0001
96956,125110,com_0001
96956,96718,com_0001
96956,96763,com_0001
96956,28233,com_0001
96956,124794,com_0001
96956,4516,com_0001
96956,96776,com_0001
96956,124952,com_0001
96956,124809,com_0001
96956,96754,com_0001
96868,97014,com_0001
96868,23699,com_0001
96868,5729,com_0001
96868,124884,com_0001
96868,96901,com_0001
96868,124830,com_0001
96868,33982,com_0001
96868,117477,com_0001
96868,125670,com_0001
96868,124849,com_0001
96868,124736,com_0001
96868,124970,com_0001
96868,124689,com_0001
96868,125110,com_0001
96868,96718,com_0001
96868,96763,com_0001
96868,28233,com_0001
96868,124794,com_0001
96868,4516,com_0001
96868,96776,com_0001
96868,124952,com_0001
96868,124809,com_0001
96868,96754,com_0001
97014,23699,com_0001
97014,5729,com_0001
97014,124884,com_0001
97014,96901,com_0001
97014,124830,com_0001
97014,33982,com_0001
97014,117477,com_0001
97014,125670,com_0001
97014,124849,com_0001
97014,124736,com_0001
97014,124970,com_0001
97014,124689,com_0001
97014,125110,com_0001
97014,96718,com_0001
97014,96763,com_0001
97014,28233,com_0001
97014,124794,com_0001
97014,4516,com_0001
97014,96776,com_0001
97014,124952,com_0001
97014,124809,com_0001
97014,96754,com_0001
23699,5729,com_0001
23699,124884,com_0001
23699,96901,com_0001
23699,124830,com_0001
23699,33982,com_0001
23699,117477,com_0001
23699,125670,com_0001
23699,124849,com_0001
23699,124736,com_0001
23699,124970,com_0001
23699,124689,com_0001
23699,125110,com_0001
23699,96718,com_0001
23699,96763,com_0001
23699,28233,com_0001
23699,124794,com_0001
23699,4516,com_0001
23699,96776,com_0001
23699,124952,com_0001
23699,124809,com_0001
23699,96754,com_0001
5729,124884,com_0001
5729,96901,com_0001
5729,124830,com_0001
5729,33982,com_0001
5729,117477,com_0001
5729,125670,com_0001
5729,124849,com_0001
5729,124736,com_0001
5729,124970,com_0001
5729,124689,com_0001
5729,125110,com_0001
5729,96718,com_0001
5729,96763,com_0001
5729,28233,com_0001
5729,124794,com_0001
5729,4516,com_0001
5729,96776,com_0001
5729,124952,com_0001
5729,124809,com_0001
5729,96754,com_0001
124884,96901,com_0001
124884,124830,com_0001
124884,33982,com_0001
124884,117477,com_0001
124884,125670,com_0001
124884,124849,com_0001
124884,124736,com_0001
124884,124970,com_0001
124884,124689,com_0001
124884,125110,com_0001
124884,96718,com_0001
124884,96763,com_0001
124884,28233,com_0001
124884,124794,com_0001
124884,4516,com_0001
124884,96776,com_0001
124884,124952,com_0001
124884,124809,com_0001
124884,96754,com_0001
96901,124830,com_0001
96901,33982,com_0001
96901,117477,com_0001
96901,125670,com_0001
96901,124849,com_0001
96901,124736,com_0001
96901,124970,com_0001
96901,124689,com_0001
96901,125110,com_0001
96901,96718,com_0001
96901,96763,com_0001
96901,28233,com_0001
96901,124794,com_0001
96901,4516,com_0001
96901,96776,com_0001
96901,124952,com_0001
96901,124809,com_0001
96901,96754,com_0001
124830,33982,com_0001
124830,117477,com_0001
124830,125670,com_0001
124830,124849,com_0001
124830,124736,com_0001
124830,124970,com_0001
124830,124689,com_0001
124830,125110,com_0001
124830,96718,com_0001
124830,96763,com_0001
124830,28233,com_0001
124830,124794,com_0001
124830,4516,com_0001
124830,96776,com_0001
124830,124952,com_0001
124830,124809,com_0001
124830,96754,com_0001
33982,117477,com_0001
33982,125670,com_0001
33982,124849,com_0001
33982,124736,com_0001
33982,124970,com_0001
33982,124689,com_0001
33982,125110,com_0001
33982,96718,com_0001
33982,96763,com_0001
33982,28233,com_0001
33982,124794,com_0001
33982,4516,com_0001
33982,96776,com_0001
33982,124952,com_0001
33982,124809,com_0001
33982,96754,com_0001
117477,125670,com_0001
117477,124849,com_0001
117477,124736,com_0001
117477,124970,com_0001
117477,124689,com_0001
117477,125110,com_0001
117477,96718,com_0001
117477,96763,com_0001
117477,28233,com_0001
117477,124794,com_0001
117477,4516,com_0001
117477,96776,com_0001
117477,124952,com_0001
117477,124809,com_0001
117477,96754,com_0001
125670,124849,com_0001
125670,124736,com_0001
125670,124970,com_0001
125670,124689,com_0001
125670,125110,com_0001
125670,96718,com_0001
125670,96763,com_0001
125670,28233,com_0001
125670,124794,com_0001
125670,4516,com_0001
125670,96776,com_0001
125670,124952,com_0001
125670,124809,com_0001
125670,96754,com_0001
124849,124736,com_0001
124849,124970,com_0001
124849,124689,com_0001
124849,125110,com_0001
124849,96718,com_0001
124849,96763,com_0001
124849,28233,com_0001
124849,124794,com_0001
124849,4516,com_0001
124849,96776,com_0001
124849,124952,com_0001
124849,124809,com_0001
124849,96754,com_0001
124736,124970,com_0001
124736,124689,com_0001
124736,125110,com_0001
124736,96718,com_0001
124736,96763,com_0001
124736,28233,com_0001
124736,124794,com_0001
124736,4516,com_0001
124736,96776,com_0001
124736,124952,com_0001
124736,124809,com_0001
124736,96754,com_0001
124970,124689,com_0001
124970,125110,com_0001
124970,96718,com_0001
124970,96763,com_0001
124970,28233,com_0001
124970,124794,com_0001
124970,4516,com_0001
124970,96776,com_0001
124970,124952,com_0001
124970,124809,com_0001
124970,96754,com_0001
124689,125110,com_0001
124689,96718,com_0001
124689,96763,com_0001
124689,28233,com_0001
124689,124794,com_0001
124689,4516,com_0001
124689,96776,com_0001
124689,124952,com_0001
124689,124809,com_0001
124689,96754,com_0001
125110,96718,com_0001
125110,96763,com_0001
125110,28233,com_0001
125110,124794,com_0001
125110,4516,com_0001
125110,96776,com_0001
125110,124952,com_0001
125110,124809,com_0001
125110,96754,com_0001
96718,96763,com_0001
96718,28233,com_0001
96718,124794,com_0001
96718,4516,com_0001
96718,96776,com_0001
96718,124952,com_0001
96718,124809,com_0001
96718,96754,com_0001
96763,28233,com_0001
96763,124794,com_0001
96763,4516,com_0001
96763,96776,com_0001
96763,124952,com_0001
96763,124809,com_0001
96763,96754,com_0001
28233,124794,com_0001
28233,4516,com_0001
28233,96776,com_0001
28233,124952,com_0001
28233,124809,com_0001
28233,96754,com_0001
124794,4516,com_0001
124794,96776,com_0001
124794,124952,com_0001
124794,124809,com_0001
124794,96754,com_0001
4516,96776,com_0001
4516,124952,com_0001
4516,124809,com_0001
4516,96754,com_0001
96776,124952,com_0001
96776,124809,com_0001
96776,96754,com_0001
124952,124809,com_0001
124952,96754,com_0001
124809,96754,com_0001
96725,124739,com_0002
96725,37312,com_0002
96725,124287,com_0002
96725,124734,com_0002
96725,35135,com_0002
96725,124708,com_0002
96725,96885,com_0002
96725,124779,com_0002
96725,108080,com_0002
96725,2025,com_0002
96725,124989,com_0002
96725,96940,com_0002
96725,124823,com_0002
96725,102886,com_0002
96725,96842,com_0002
96725,124929,com_0002
96725,28257,com_0002
96725,124770,com_0002
96725,124807,com_0002
96725,125044,com_0002
96725,96956,com_0002
96725,96868,com_0002
96725,97014,com_0002
96725,23699,com_0002
96725,5729,com_0002
96725,124884,com_0002
96725,96901,com_0002
96725,124830,com_0002
96725,33982,com_0002
96725,117477,com_0002
96725,125670,com_0002
96725,124849,com_0002
96725,124736,com_0002
96725,124750,com_0002
96725,124970,com_0002
96725,124689,com_0002
96725,125110,com_0002
96725,96718,com_0002
96725,4319,com_0002
96725,28233,com_0002
96725,4516,com_0002
96725,96776,com_0002
96725,124952,com_0002
96725,124809,com_0002
96725,96754,com_0002
124739,37312,com_0002
124739,124287,com_0002
124739,124734,com_0002
124739,35135,com_0002
124739,124708,com_0002
124739,96885,com_0002
124739,124779,com_0002
124739,108080,com_0002
124739,2025,com_0002
124739,124989,com_0002
124739,96940,com_0002
124739,124823,com_0002
124739,102886,com_0002
124739,96842,com_0002
124739,124929,com_0002
124739,28257,com_0002
124739,124770,com_0002
124739,124807,com_0002
124739,125044,com_0002
124739,96956,com_0002
124739,96868,com_0002
124739,97014,com_0002
124739,23699,com_0002
124739,5729,com_0002
124739,124884,com_0002
124739,96901,com_0002
124739,124830,com_0002
124739,33982,com_0002
124739,117477,com_0002
124739,125670,com_0002
124739,124849,com_0002
124739,124736,com_0002
124739,124750,com_0002
124739,124970,com_0002
124739,124689,com_0002
124739,125110,com_0002
124739,96718,com_0002
124739,4319,com_0002
124739,28233,com_0002
124739,4516,com_0002
124739,96776,com_0002
124739,124952,com_0002
124739,124809,com_0002
124739,96754,com_0002
37312,124287,com_0002
37312,124734,com_0002
37312,35135,com_0002
37312,124708,com_0002
37312,96885,com_0002
37312,124779,com_0002
37312,108080,com_0002
37312,2025,com_0002
37312,124989,com_0002
37312,96940,com_0002
37312,124823,com_0002
37312,102886,com_0002
37312,96842,com_0002
37312,124929,com_0002
37312,28257,com_0002
37312,124770,com_0002
37312,124807,com_0002
37312,125044,com_0002
37312,96956,com_0002
37312,96868,com_0002
37312,97014,com_0002
37312,23699,com_0002
37312,5729,com_0002
37312,124884,com_0002
37312,96901,com_0002
37312,124830,com_0002
37312,33982,com_0002
37312,117477,com_0002
37312,125670,com_0002
37312,124849,com_0002
37312,124736,com_0002
37312,124750,com_0002
37312,124970,com_0002
37312,124689,com_0002
37312,125110,com_0002
37312,96718,com_0002
37312,4319,com_0002
37312,28233,com_0002
37312,4516,com_0002
37312,96776,com_0002
37312,124952,com_0002
37312,124809,com_0002
37312,96754,com_0002
124287,124734,com_0002
124287,35135,com_0002
124287,124708,com_0002
124287,96885,com_0002
124287,124779,com_0002
124287,108080,com_0002
124287,2025,com_0002
124287,124989,com_0002
124287,96940,com_0002
124287,124823,com_0002
124287,102886,com_0002
124287,96842,com_0002
124287,124929,com_0002
124287,28257,com_0002
124287,124770,com_0002
124287,124807,com_0002
124287,125044,com_0002
124287,96956,com_0002
124287,96868,com_0002
124287,97014,com_0002
124287,23699,com_0002
124287,5729,com_0002
124287,124884,com_0002
124287,96901,com_0002
124287,124830,com_0002
124287,33982,com_0002
124287,117477,com_0002
124287,125670,com_0002
124287,124849,com_0002
124287,124736,com_0002
124287,124750,com_0002
124287,124970,com_0002
124287,124689,com_0002
124287,125110,com_0002
124287,96718,com_0002
124287,4319,com_0002
124287,28233,com_0002
124287,4516,com_0002
124287,96776,com_0002
124287,124952,com_0002
124287,124809,com_0002
124287,96754,com_0002
124734,35135,com_0002
124734,124708,com_0002
124734,96885,com_0002
124734,124779,com_0002
124734,108080,com_0002
124734,2025,com_0002
124734,124989,com_0002
124734,96940,com_0002
124734,124823,com_0002
124734,102886,com_0002
124734,96842,com_0002
124734,124929,com_0002
124734,28257,com_0002
124734,124770,com_0002
124734,124807,com_0002
124734,125044,com_0002
124734,96956,com_0002
124734,96868,com_0002
124734,97014,com_0002
124734,23699,com_0002
124734,5729,com_0002
124734,124884,com_0002
124734,96901,com_0002
124734,124830,com_0002
124734,33982,com_0002
124734,117477,com_0002
124734,125670,com_0002
124734,124849,com_0002
124734,124736,com_0002
124734,124750,com_0002
124734,124970,com_0002
124734,124689,com_0002
124734,125110,com_0002
124734,96718,com_0002
124734,4319,com_0002
124734,28233,com_0002
124734,4516,com_0002
124734,96776,com_0002
124734,124952,com_0002
124734,124809,com_0002
124734,96754,com_0002
35135,124708,com_0002
35135,96885,com_0002
35135,124779,com_0002
35135,108080,com_0002
35135,2025,com_0002
35135,124989,com_0002
35135,96940,com_0002
35135,124823,com_0002
35135,102886,com_0002
35135,96842,com_0002
35135,124929,com_0002
35135,28257,com_0002
35135,124770,com_0002
35135,124807,com_0002
35135,125044,com_0002
35135,96956,com_0002
35135,96868,com_0002
35135,97014,com_0002
35135,23699,com_0002
35135,5729,com_0002
35135,124884,com_0002
35135,96901,com_0002
35135,124830,com_0002
35135,33982,com_0002
35135,117477,com_0002
35135,125670,com_0002
35135,124849,com_0002
35135,124736,com_0002
35135,124750,com_0002
35135,124970,com_0002
35135,124689,com_0002
35135,125110,com_0002
35135,96718,com_0002
35135,4319,com_0002
35135,28233,com_0002
35135,4516,com_0002
35135,96776,com_0002
35135,124952,com_0002
35135,124809,com_0002
35135,96754,com_0002
124708,96885,com_0002
124708,124779,com_0002
124708,108080,com_0002
124708,2025,com_0002
124708,124989,com_0002
124708,96940,com_0002
124708,124823,com_0002
124708,102886,com_0002
124708,96842,com_0002
124708,124929,com_0002
124708,28257,com_0002
124708,124770,com_0002
124708,124807,com_0002
124708,125044,com_0002
124708,96956,com_0002
124708,96868,com_0002
124708,97014,com_0002
124708,23699,com_0002
124708,5729,com_0002
124708,124884,com_0002
124708,96901,com_0002
124708,124830,com_0002
124708,33982,com_0002
124708,117477,com_0002
124708,125670,com_0002
124708,124849,com_0002
124708,124736,com_0002
124708,124750,com_0002
124708,124970,com_0002
124708,124689,com_0002
124708,125110,com_0002
124708,96718,com_0002
124708,4319,com_0002
124708,28233,com_0002
124708,4516,com_0002
124708,96776,com_0002
124708,124952,com_0002
124708,124809,com_0002
124708,96754,com_0002
96885,124779,com_0002
96885,108080,com_0002
96885,2025,com_0002
96885,124989,com_0002
96885,96940,com_0002
96885,124823,com_0002
96885,102886,com_0002
96885,96842,com_0002
96885,124929,com_0002
96885,28257,com_0002
96885,124770,com_0002
96885,124807,com_0002
96885,125044,com_0002
96885,96956,com_0002
96885,96868,com_0002
96885,97014,com_0002
96885,23699,com_0002
96885,5729,com_0002
96885,124884,com_0002
96885,96901,com_0002
96885,124830,com_0002
96885,33982,com_0002
96885,117477,com_0002
96885,125670,com_0002
96885,124849,com_0002
96885,124736,com_0002
96885,124750,com_0002
96885,124970,com_0002
96885,124689,com_0002
96885,125110,com_0002
96885,96718,com_0002
96885,4319,com_0002
96885,28233,com_0002
96885,4516,com_0002
96885,96776,com_0002
96885,124952,com_0002
96885,124809,com_0002
96885,96754,com_0002
124779,108080,com_0002
124779,2025,com_0002
124779,124989,com_0002
124779,96940,com_0002
124779,124823,com_0002
124779,102886,com_0002
124779,96842,com_0002
124779,124929,com_0002
124779,28257,com_0002
124779,124770,com_0002
124779,124807,com_0002
124779,125044,com_0002
124779,96956,com_0002
124779,96868,com_0002
124779,97014,com_0002
124779,23699,com_0002
124779,5729,com_0002
124779,124884,com_0002
124779,96901,com_0002
124779,124830,com_0002
124779,33982,com_0002
124779,117477,com_0002
124779,125670,com_0002
124779,124849,com_0002
124779,124736,com_0002
124779,124750,com_0002
124779,124970,com_0002
124779,124689,com_0002
124779,125110,com_0002
124779,96718,com_0002
124779,4319,com_0002
124779,28233,com_0002
124779,4516,com_0002
124779,96776,com_0002
124779,124952,com_0002
124779,124809,com_0002
124779,96754,com_0002
108080,2025,com_0002
108080,124989,com_0002
108080,96940,com_0002
108080,124823,com_0002
108080,102886,com_0002
108080,96842,com_0002
108080,124929,com_0002
108080,28257,com_0002
108080,124770,com_0002
108080,124807,com_0002
108080,125044,com_0002
108080,96956,com_0002
108080,96868,com_0002
108080,97014,com_0002
108080,23699,com_0002
108080,5729,com_0002
108080,124884,com_0002
108080,96901,com_0002
108080,124830,com_0002
108080,33982,com_0002
108080,117477,com_0002
108080,125670,com_0002
108080,124849,com_0002
108080,124736,com_0002
